id,4305129@高等電腦網路@2@1,4305132@專題演講（二）@2@1,4305165@合作式通訊@2@1,4305017@隨機程序@1@1,4305034@數位通訊@1@1,4305038@專題演講（一）@1@1,4305062@網路管理@1@1,4305065@網路安全@1@1,4305066@偵測與估計@1@1,4305087@消息理論@1@1,4305113@電腦網路結構@1@1,4305116@網路程式設計@1@1,4305122@個人及行動通訊@1@1,4305157@前瞻網路技術專論@1@1,4305159@網路最佳化@1@1,4305164@下世代行動通訊系統(一)@1@1,4305166@多天線信號處理專論@1@1,4305175@微處理機系統與介面技術@1@1,4305178@新興網路架構專論@1@1,4305179@嵌入式作業系統@1@1,4305019@錯誤更正碼@2@1,4305070@無線區域網路@2@1,4305079@正交分頻多重進接技術@2@1,4305104@排隊理論@2@1,4305106@適應性陣列信號處理@2@1,4305110@格網結構@2@1,4305130@通訊系統模擬@2@1,4305135@光通訊網路@2@1,4305136@網路模擬技術與應用@2@1,4305144@網路安全專論@2@1,4305167@多天線多重輸入輸出技術@2@1,4305172@合作式通訊專論@2@1,4305177@JAVA在網路的應用@2@1,4305180@聯網嵌入式系統@2@1,4305181@無線通訊理論@2@1,4305182@下世代行動通訊系統(二)@2@1,4305146@通訊訊號處理專論@1@1,4305156@頻譜分析與方位估計@1@1,4305176@嵌入式聯網感測系統專論@1@1,4305127@資料網路規劃與設計@2@1,4305162@異質無線網路漫遊與換手技術@2@1,4305133@網路互連@2@1
602430018,NaN,85,NaN,NaN,NaN,86,88,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602430022,85,81,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,96,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN
602430023,70,77,NaN,NaN,NaN,78,NaN,81,NaN,73,70,NaN,NaN,NaN,58,70,NaN,NaN,84,NaN,NaN,77,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36,NaN,NaN,NaN,NaN,NaN,NaN
602430025,79,81,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,70,79,76,NaN,94,NaN,NaN,78,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602430026,71,85,NaN,NaN,NaN,82,NaN,75,NaN,80,70,NaN,NaN,NaN,76,70,NaN,NaN,88,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53,NaN,NaN,NaN,NaN,NaN,NaN
602430027,NaN,83,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,81,85,NaN,NaN,72,70,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54,NaN,NaN,NaN,NaN,NaN,NaN
602430032,NaN,NaN,NaN,NaN,NaN,84,80,NaN,NaN,NaN,70,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602430033,73,85,NaN,NaN,NaN,84,92,NaN,NaN,NaN,71,80,83,NaN,65,NaN,NaN,NaN,NaN,NaN,NaN,77,NaN,84,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602430035,77,85,NaN,NaN,NaN,86,90,NaN,NaN,NaN,72,85,81,NaN,74,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602430041,NaN,85,NaN,NaN,NaN,82,88,70,NaN,NaN,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602430042,66,81,NaN,NaN,NaN,86,89,NaN,NaN,NaN,70,81,84,NaN,70,70,NaN,NaN,NaN,NaN,NaN,79,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602430045,NaN,83,NaN,NaN,NaN,84,87,NaN,NaN,NaN,60,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602430048,NaN,87,NaN,NaN,NaN,82,85,NaN,NaN,NaN,70,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,78,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602430055,NaN,87,NaN,NaN,NaN,86,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN
602430061,NaN,87,NaN,NaN,NaN,84,82,NaN,NaN,NaN,60,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
602430064,NaN,83,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,70,76,NaN,NaN,62,24,NaN,NaN,NaN,NaN,NaN,75,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,80,NaN
602430054,NaN,80,NaN,NaN,NaN,80,94,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86
