id,6055007@德文法學名著選讀（一）@1@1,6055082@商事法專題研究－國際海事法@1@1,6055100@社會法專題研究（三）@1@1,6055103@憲法專題研究－基本人權（一）@1@1,6055127@刑法基礎理論專題研究（一）@1@1,6055145@刑事證據法專題研究（一）@1@1,6055175@勞動法專題研究（一）@1@1,6055197@勞動法專論選讀與論文寫作（二）@1@1,6055217@憲法訴訟專題研究（一）@1@1,6055310@法學英文（三）@1@1,6055320@民法專題研究（財產法）（四）@1@1,6055321@民法專題研究（財產法）（五）@1@1,6055325@民事程序法專題研究（民事訴訟法）（一）@1@1,6055328@民法專題研究（財產法）（七）@1@1,6055345@法學日文（一）@1@1,6055369@美國憲法專題研究（一）@1@1,6055376@國際私法專題研究－涉外民事訴訟之理論與實務@1@1,6055386@民事特別法專題研究（四）－土地法@1@1,6055437@憲法理論與實務專題研究（一）@1@1,6055440@國際環境法專題研究（一）@1@1,6055483@科際法律專題研究（一）－法律規訓與專業倫理@1@1,6055491@法律資訊與多元社會專題研究（一）@1@1,6055497@法律史專題研究（一）@1@1,6055504@刑事法學專題研究（三）@1@1,6055544@憲法基礎理論專題研究－社會權之憲法理論與實踐@1@1,6055563@法院實習（一）@1@1,6055080@商事法專題研究－比較保險法@2@1,6055104@憲法專題研究－基本人權（二）@2@1,6055128@刑法基礎理論專題研究（二）@2@1,6055176@勞動法專題研究（二）@2@1,6055242@憲法訴訟專題研究（二）@2@1,6055248@憲法基礎理論專題研究（二）@2@1,6055322@民法專題研究（財產法）（六）@2@1,6055326@民事程序法專題研究（民事訴訟法）（二）@2@1,6055346@法學日文（二）@2@1,6055353@法學英文（四）@2@1,6055377@國際私法專題研究－涉外民事訴訟之理論與實務（二）@2@1,6055380@民事特別法專題研究（一）－信託法@2@1,6055396@民事特別法專題研究（十五）－消費者保護法與公平交易法（一）@2@1,6055411@行政法基礎理論與行政組織法專題研究（二）@2@1,6055430@國家賠償法之理論與實務專題研究@2@1,6055438@憲法理論與實務專題研究（二）@2@1,6055441@國際環境法專題研究（二）@2@1,6055498@法律史專題研究（二）@2@1,6055505@刑事法學專題研究（四）@2@1,6055564@法院實習（二）@2@1,6055020@法律的經濟分析@1@1,6055053@商事法專題研究－公司法@1@1,6055067@商事法專題研究－國際海事法（二）@1@1,6055105@憲法專題研究－政府組織（一）@1@1,6055109@行政法專題研究－行政作用法（一）@1@1,6055134@刑法基礎理論專題研究（三）@1@1,6055183@勞動法專題研究（三）@1@1,6055196@勞動法專論選讀與論文寫作（一）@1@1,6055211@行政法專題研究－行政救濟法（一）@1@1,6055317@民法專題研究（財產法）（一）@1@1,6055397@民事特別法專題研究（十五）－消費者保護法與公平交易法（二）@1@1,6055398@民事特別法專題研究（十六）－農業與法律@1@1,6055144@刑事政策專題研究（一）@2@1,6055198@比較勞動契約法專題研究@2@1,6055148@刑事證據法專題研究（二）@2@1,6055319@民法專題研究（財產法）（三）@2@1,6055379@國際私法專題研究－涉外身分爭訟之理論與實務 (二)@2@1,6055403@行政法基礎理論與行政組織法專題研究（一）@1@1,6055085@商事法專題研究（一）@1@1,6055101@社會法專題研究（一）@1@1,6055128@刑法基礎理論專題研究（二）@1@1,6055129@刑法競合論專題研究（一）@1@1,6055155@刑事訴訟法專題研究（一）@1@1,6055207@國際公法基礎理論之研究（一）@1@1,6055247@憲法基礎理論專題研究（一）@1@1,6055323@民法專題研究（身分法）（一）@1@1,6055343@法學德文（一）@1@1,6055351@法學英文（一）@1@1,6055384@民事特別法專題研究（三）－涉外民事法律關係（一）@1@1,6055392@民事特別法專題研究（十）－涉外民事訴訟之理論與實務（一）@1@1,6055465@法理學專題研究（一）@1@1,6055540@憲法專題研究－基本人權（三）@1@1,6055561@法院實習（一）@1@1,6055086@商事法專題研究（二）@2@1,6055090@商事法專題研究（保險法）@2@1,6055102@社會法專題研究（二）@2@1,6055106@憲法專題研究－政府組織（二）@2@1,6055140@刑法基礎理論專題研究（四）@2@1,6055156@刑事訴訟法專題研究（二）@2@1,6055184@勞動法專題研究（四）@2@1,6055208@國際公法基礎理論之研究（二）@2@1,6055212@行政法專題研究－行政救濟法（二）@2@1,6055213@行政法專題研究－行政作用法（二）@2@1,6055311@法學英文（二）@2@1,6055324@民法專題研究（身分法）（二）@2@1,6055344@法學德文（二）@2@1,6055375@國際私法專題研究－涉外身分爭訟之理論與實務@2@1,6055466@法理學專題研究（二）@2@1,6055490@法律資訊與多元社會專題研究@2@1,6055543@公法理論與實務專題研究（二）－憲法與行政法之整合@2@1
699605013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,89,90,89,87,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,84,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
699605019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,88,88,90,NaN,NaN,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,92,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,92,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,NaN,NaN,90,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN
699605024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,92,90,NaN,91,NaN,NaN,92,NaN,NaN,93,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,90,NaN,NaN,NaN,84,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,93,NaN,NaN,NaN,93,NaN
699605037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,87,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,80,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,90,85,86,NaN,88,NaN,NaN,NaN,82,85,84,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN
699605050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,91,NaN,91,NaN,NaN,99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,NaN,NaN,88,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
699605036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,92,NaN,76,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,88,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,87,NaN,84,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,92
699605047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,88,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,85,NaN,85,85,NaN,86,NaN,NaN,NaN,84,NaN,NaN,NaN,92
699605015,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,88,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,86,87,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
699605029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85,NaN,88,NaN,NaN,97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86,95,NaN,NaN,NaN,NaN,NaN,92,NaN,NaN,NaN,NaN,NaN,NaN,93,NaN,NaN,95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,95,NaN,NaN,NaN
699605020,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82,95,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
699605040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,88,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
699605043,NaN,NaN,NaN,NaN,NaN,85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84,87,86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
